"id","mbar","swc"
"EF21CU",1000,0.204127345351829
"EF21CU",2000,0.194879027928912
"EF21CU",5000,0.186137937197032
"EF21CU",10000,0.178598778441391
"EF21CU",15000,0.172300205389009
"EF31AL",0,0.312085688889989
"EF31AL",33,0.262031556925775
"EF31AL",50,0.257547348748395
"EF31AL",100,0.252265908358224
"EF31AL",200,0.249509802698238
"EF31AL",500,0.242395684518871
"EF31AL",1000,0.231118986383394
"EF31AL",2000,0.222417352503131
"EF31AL",5000,0.213151097405326
"EF31AL",10000,0.205382906896289
"EF31AL",15000,0.197900550006881
"EF31AU",0,0.326713758321382
"EF31AU",33,0.271109941602131
"EF31AU",50,0.264790954254292
"EF31AU",100,0.25787134548692
"EF31AU",200,0.252564703109255
"EF31AU",500,0.245781224615101
"EF31AU",1000,0.231932170224923
"EF31AU",2000,0.223440354999698
"EF31AU",5000,0.212916219971103
"EF31AU",10000,0.203686903944195
"EF31AU",15000,0.195798678690909
"EF31BL",0,0.330719622800515
"EF31BL",33,0.266707613517272
"EF31BL",50,0.262928840002708
"EF31BL",100,0.256411099049398
"EF31BL",200,0.248594051685644
"EF31BL",500,0.237190944638533
"EF31BL",1000,0.223494821407048
"EF31BL",2000,0.215594773672011
"EF31BL",5000,0.204706900328681
"EF31BL",10000,0.193072630809117
"EF31BL",15000,0.186599593144444
"EF31BU",0,0.311354911793739
"EF31BU",33,0.266715746197335
"EF31BU",50,0.264661563838671
"EF31BU",100,0.259935991629825
"EF31BU",200,0.254070954274428
"EF31BU",500,0.242206386538685
"EF31BU",1000,0.231626064467548
"EF31BU",2000,0.222978652781402
"EF31BU",5000,0.213645111314712
"EF31BU",10000,0.203307337340839
"EF31BU",15000,0.195760314097132
"EF31CL",0,0.308871455145684
"EF31CL",33,0.269525715732464
"EF31CL",50,0.26616503699777
"EF31CL",100,0.260672337950896
"EF31CL",200,0.253756523861695
"EF31CL",500,0.243384105679838
"EF31CL",1000,0.23124895363475
"EF31CL",2000,0.223331665610484
"EF31CL",5000,0.21446939994724
"EF31CL",10000,0.20621867677093
"EF31CL",15000,0.199964790124061
"EF31CU",0,0.327894311786917
"EF31CU",33,0.269240408581783
"EF31CU",50,0.265126061993259
"EF31CU",100,0.258505136613798
"EF31CU",200,0.25027918878646
"EF31CU",500,0.23710231009151
"EF31CU",1000,0.222188221345509
"EF31CU",2000,0.212571068290011
"EF31CU",5000,0.201661015720896
"EF31CU",10000,0.191051417358415
"EF31CU",15000,0.184193521754426
"EF61AL",0,0.301029404480456
"EF61AL",33,0.238442745265913
"EF61AL",50,0.233503388934253
"EF61AL",100,0.226692132636319
"EF61AL",200,0.219645774571173
"EF61AL",500,0.20896424855122
"EF61AL",1000,0.199793933798323
"EF61AL",2000,0.191436795834692
"EF61AL",5000,0.183963218414777
"EF61AL",10000,0.17559560184398
"EF61AL",15000,0.169625522300506
"EF61AU",0,0.287684097167929
"EF61AU",33,0.239728510400505
"EF61AU",50,0.236733795023361
"EF61AU",100,0.23027270527095
"EF61AU",200,0.222977358986204
"EF61AU",500,0.212024771726516
"EF61AU",1000,0.203297680633007
"EF61AU",2000,0.194340394965501
"EF61AU",5000,0.185624439430675
"EF61AU",10000,0.176319964621855
"EF61AU",15000,0.171433862144426
"EF61BL",0,0.281581570901037
"EF61BL",33,0.240058202045682
"EF61BL",50,0.238230343064409
"EF61BL",100,0.231815706047189
"EF61BL",200,0.224918830849008
"EF61BL",500,0.21515224871374
"EF61BL",1000,0.206662985060906
"EF61BL",2000,0.197354109363986
"EF61BL",5000,0.190050827164384
"EF61BL",10000,0.182687801115672
"EF61BL",15000,0.177021770341388
"EF61BU",0,0.282630335609943
"EF61BU",33,0.249450559011767
"EF61BU",50,0.248183990023007
"EF61BU",100,0.242245570793678
"EF61BU",200,0.234702728113513
"EF61BU",500,0.224677943267226
"EF61BU",1000,0.216212516324702
"EF61BU",2000,0.207073124496494
"EF61BU",5000,0.199436662339505
"EF61BU",10000,0.18676862836771
"EF61BU",15000,0.185378309623493
"EF61CL",0,0.269562150140212
"EF61CL",33,0.239182312787567
"EF61CL",50,0.238351738320523
"EF61CL",100,0.234795211958754
"EF61CL",200,0.228753393381343
"EF61CL",500,0.221058624561063
"EF61CL",1000,0.21316370110107
"EF61CL",2000,0.204038186296874
"EF61CL",5000,0.197161230157261
"EF61CL",10000,0.188820877120711
"EF61CL",15000,0.182139462233354
"EF61CU",0,0.279128933749439
"EF61CU",33,0.245435925372415
"EF61CU",50,0.243873959641396
"EF61CU",100,0.238519911950454
"EF61CU",200,0.231166875057525
"EF61CU",500,0.220411933955253
"EF61CU",1000,0.210303263168917
"EF61CU",2000,0.1993463138662
"EF61CU",5000,0.190102507255473
"EF61CU",10000,0.180023590413777
"EF61CU",15000,0.173634598210922
"EF62AL",0,0.292564389979499
"EF62AL",33,0.228418328132422
"EF62AL",50,0.225090338776507
"EF62AL",100,0.215782872458638
